V1,V2,V3,V4
bOtu6,bOtu157,0.657142857,1
bOtu6,eOtu501,0.654653671,1
bOtu6,bOtu494,0.657142857,1
bOtu6,bOtu1238,0.657142857,1
bOtu6,bOtu1652,0.698253252,1
eOtu60,bOtu268,0.666736691,1
eOtu60,bOtu679,0.708447269,1
eOtu60,bOtu68,0.657142857,1
eOtu60,bOtu1254,0.677419355,1
eOtu60,eOtu501,0.695725243,1
eOtu60,bOtu494,0.714285714,1
eOtu60,bOtu948,0.741935484,1
eOtu60,bOtu455,0.654653671,1
bOtu368,bOtu53,0.714285714,1
bOtu368,bOtu344,0.695725243,1
bOtu368,bOtu817,0.657142857,1
bOtu368,bOtu762,0.695725243,1
bOtu368,bOtu541,0.654653671,1
bOtu368,bOtu424,0.657142857,1
bOtu368,bOtu490,0.657142857,1
bOtu368,bOtu1816,0.714285714,1
bOtu368,bOtu2156,0.657142857,1
bOtu368,bOtu2488,0.657142857,1
bOtu48,bOtu441,0.657142857,1
bOtu48,bOtu806,0.657142857,1
bOtu48,bOtu9990,0.714285714,1
bOtu48,bOtu78,0.771428571,1
eOtu72,eOtu169,0.664211164,1
eOtu72,eOtu364,0.654653671,1
eOtu72,eOtu401,0.654653671,1
eOtu72,bOtu1648,0.664211164,1
eOtu72,eOtu286,0.664211164,1
eOtu72,bOtu1664,0.774596669,1
eOtu72,eOtu417,0.695608344,1
bOtu88,bOtu256,0.714285714,1
bOtu88,bOtu116,0.695725243,1
bOtu88,bOtu248,0.657142857,1
bOtu88,bOtu18,0.657142857,1
bOtu88,bOtu205,0.714285714,1
bOtu88,bOtu59,0.771428571,1
bOtu88,bOtu233,0.705882353,1
bOtu88,bOtu576,0.695725243,1
bOtu88,bOtu146,0.771428571,1
bOtu88,bOtu989,0.666736691,1
bOtu88,bOtu803,0.657142857,1
bOtu88,bOtu258,0.657142857,1
bOtu88,bOtu3191,0.698253252,1
bOtu88,bOtu584,0.695725243,1
bOtu88,bOtu355,0.753702346,1
bOtu88,bOtu531,0.657142857,1
bOtu88,bOtu794,0.724713795,1
bOtu70,bOtu245,0.657142857,1
bOtu52,bOtu762,0.695725243,1
bOtu52,bOtu2149,0.695725243,1
eOtu307,bOtu57,0.654653671,1
eOtu307,bOtu124,-0.654653671,-1
bOtu40,bOtu311,0.657142857,1
bOtu40,bOtu96,0.666736691,1
bOtu40,bOtu158,0.657142857,1
bOtu40,eOtu347,0.657142857,1
bOtu40,bOtu441,0.657142857,1
bOtu40,bOtu460,0.753702346,1
bOtu40,bOtu300,0.771428571,1
bOtu40,bOtu3908,0.758970926,1
bOtu40,bOtu772,0.695608344,1
eOtu295,eOtu937,0.677419355,1
eOtu295,eOtu1662,0.661764706,1
eOtu295,eOtu2077,0.698253252,1
bOtu203,bOtu124,0.657142857,1
bOtu203,bOtu906,0.714285714,1
